Informazioni cronologiche,Hai vinto un buono da 30€. Come lo spendi?,Come ti comporti sui social? ,È ora di cena,Pregando di finire in zona gialla,"Quando ti trovi in una situazione nuova, circondat* da persone che vedi per la prima volta",Ti arrabbi soprattutto quando,Cosa ti preoccupa di più del futuro post-COVID?,Che pizza preferisci?,Sei tesserat* o fai vita associativa?,"Misuriamo l'umore, come ti senti ora?",Pensi che questo stato d'animo si prolungherà nel tempo?,"Secondo te, Bolzano ha bisogno di",Come vedi Bolzano?,"Cosa pensi se dico ""Intelligenza Artificiale""?",Quante ore dormi di solito la notte?,Mappa di Bolzano [Dov'è interessante?],Mappa di Bolzano [Dov'è rilassante?],Mappa di Bolzano [Dove ti incontri con gli amici?],Mappa di Bolzano [Dove non andresti?],Commento,Emozioni [Gioia ],Emozioni [Fiducia],Emozioni [Eccitazione],Emozioni [Ansia],Emozioni [Paura],Emozioni [Rabbia],Emozioni [Disgusto],Emozioni [Sorpresa],Emozioni [Tristezza],Rieccoti la mappa! [Rosso (A)],Rieccoti la mappa! [Arancione (B)],Rieccoti la mappa! [Giallo (C)],Rieccoti la mappa! [Verde (D)],Rieccoti la mappa! [Azzurro (E)],Rieccoti la mappa! [Blu (F)],Rieccoti la mappa! [Viola (G)],Luoghi/emozioni,Genere,Età,Luogo di nascita,"Se alla precedente domanda hai riposto Estero (EU) o Estero (no EU), specifica il paese qui sotto",Luogo di residenza,Livello di istruzione,Lingua madre,Lingue parlate,Stato civile,Con quante persone vivi?,Occupazione,Quanto lavori/studi?
13/02/2021 1.03.41,"Libri, giornali, riviste",1,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,"Rompo il ghiaccio, vado a ruota libera",Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,La mia situazione,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Eliminare lo spaccio e la delinquenza,Austera,Può essere una valida alleata degli umani,7,1,2,1,5,,1,2,Non so,5,5,Non so,Non so,Non so,5,5,5,3,1,1,2,2,,Donna,41-50,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese, Francese",Sposat*,Con partner e figl*,Lavorator*,Part-time
13/02/2021 2.35.11,"Libri, giornali, riviste",2,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Vedo una persona che getta una lattina a terra, I vicini del piano di sopra fanno rumore incessante per tutta la sera",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Non ho particolari preferenze,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Peggiorata ,"Non ho idea di cosa sia, ma sono curios*",5,1,2,2,5,,2,2,2,1,1,1,1,Non so,1,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Donna,60+,Bolzano,,Preferisco non rispondere,"Laurea, Università",Tedesco,"Italiano, Tedesco, Inglese",Single,Da sol*,Pensionat*,Preferisco non rispondere
13/02/2021 7.36.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/02/2021 8.01.58,"Libri, giornali, riviste",4,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La situazione delle persone a me vicine,Non mangio pizza,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Pigra e viziata,Può essere una valida alleata degli umani,7,1,3,"2, 3",5,,4,4,1,5,Non so,5,5,Non so,Non so,Non so,4,4,Non so,Non so,5,Non so,Manca il grigio,Donna,41-50,Estero (EU),Germania,Bolzano,"Master, Università",Tedesco,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
13/02/2021 9.44.47,Macchine fotografiche e altre attrezzature elettroniche,3,Adoro cucinare,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Eliminare lo spaccio e la delinquenza,Ferma e divisa culturalmente e socialmente se non qualche spiraglietto di apparenza,Può essere una valida alleata degli umani,7,"1, 3, 4",1,1,Non so,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,1,1,3,Non so,Non so,4,Non so,5,Mah sì è persa un po' la specificità delle zone,Uomo,51-60,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
13/02/2021 9.51.34,Musica o film,7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,La situazione delle persone a me vicine,Vegetariana,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,Eliminare lo spaccio e la delinquenza,Rigida,"Non ho idea di cosa sia, ma sono curios*",6,1,3,1,2,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,3,3,Non so,1,4,5,Non so,,Donna,60+,Bolzano,,Bolzano,Laurea specialistica,Italiano,"Italiano, Tedesco",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
13/02/2021 12.41.47,Articoli sportivi,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Bella,Può essere una valida alleata degli umani,7,"1, 2, 3, 4","2, 4","1, 2, 3, 4",Non so,,"1, 2, 4","1, 2, 4","1, 2",Non so,Non so,Non so,Non so,"1, 2",Non so,Non so,4,5,"1, 2",2,Non so,Non so,,Uomo,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,Con più di due coinquilin*,Student*,Tempo pieno
13/02/2021 13.57.35,Articoli per la casa,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La re-impennata degli agenti inquinanti,Non mangio pizza,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Deprimente montagna di cemento ,È una questione delicata che dobbiamo gestire,7,1,2,2,1,Zona 1 interessante ma non piacevole ,Non so,2,Non so,1,Non so,Non so,Non so,Non so,5,"3, Non so",Non so,Non so,Non so,2,Non so,"1, 5",Mancano il grigio e il nero per certe zone ,Preferisco non rispondere,Preferisco non rispondere,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Single,Da sol*,Lavorator*,Tempo pieno
13/02/2021 14.46.49,"Libri, giornali, riviste",4,La pizzeria del cuore è in cima alla lista,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Se potessi mi smaterializzerei,"Penso che tutte le persone al potere vogliono fare solo i loro interessi, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Non ho particolari preferenze,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Piantare alberi, Eliminare lo spaccio e la delinquenza","Strade torride in estate, senza alberi",Non credo che possa esistere un'Intelligenza Artificiale,7,3,5,2,Non so,"Ogni quartiere può diventare ""brutto"", se il degrado prende il sopravvento , spaccio, immondizia gente poco raccomandabile in giro, pochi alberi, piazze come deserti, ecc",3,2,Non so,1,1,1,1,2,1,1,2,1,2,5,5,4,,Donna,51-60,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco, Inglese, Spagnolo",Sposat*,Con partner e figl*,Lavorator*,Part-time
13/02/2021 15.32.01,"Cosmetica, bellezza, benessere",4,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La situazione delle persone a me vicine,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,Eliminare lo spaccio e la delinquenza,Fredda ,È una questione delicata che dobbiamo gestire,7,2,2,"2, 5","1, 4",,2,5,4,1,1,1,1,2,1,1,3,1,2,2,3,Non so,,Donna,51-60,Bolzano,,Bolzano,Istruzione secondaria/completa,Tedesco,"Italiano, Tedesco, Inglese",Separat*/Divorziat*,Con partner e figl*,Lavorator*,Part-time
13/02/2021 20.21.45,Articoli per la casa,5,Adoro cucinare,Imploro un aperitivo con gli amici,Se potessi mi smaterializzerei,Penso che tutte le persone al potere vogliono fare solo i loro interessi,La situazione delle persone a me vicine,Non ho particolari preferenze,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",No,Eliminare lo spaccio e la delinquenza,Cambiata ,Non credo che possa esistere un'Intelligenza Artificiale,8,4,4,4,1,,4,4,4,1,1,1,1,2,1,1,5,3,"2, 4",5,5,5,,Donna,60+,Italia,,Bolzano,Istruzione secondaria/completa,Italiano,Francese,Sposat*,Con partner,Pensionat*,Non lavoro e non studio
13/02/2021 22.35.40,Articoli per la casa,6,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La mia situazione,Capricciosa,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Rassegnata,Scenari tipo Terminator,7,"1, 2","1, 2",1,"3, 4",,1,2,Non so,4,"3, 4","3, 4","3, 4",Non so,"1, 2, 3, 4, 5","1, 2",2,2,Non so,Non so,Non so,"3, 4, 5",,Uomo,41-50,Italia,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese, Francese",Single,Da sol*,Lavorator*,Tempo pieno
14/02/2021 6.33.16,Musica o film,5,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione",I vicini del piano di sopra fanno rumore incessante per tutta la sera,La mia situazione,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,Sistemare la viabilità,Vecchia immobile ,È una questione delicata che dobbiamo gestire,6,1,1,"1, 3",5,,"1, 3",3,"1, 3",Non so,Non so,Non so,Non so,Non so,5,4,2,1,2,3,1,5,,Donna,51-60,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Single,Da sol*,Lavorator*,Tempo pieno
14/02/2021 8.10.14,Articoli sportivi,5,Adoro cucinare,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione",Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,La mia situazione,4 formaggi,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,"Luminosa, serena, produttiva",Una cosa entusiasmante,7,2,2,"1, 2",5,"Gries è la sintesi definitiva di quartiere tranquillo, a 2 passi dal centro e con tutti i servizi",2,2,2,Non so,Non so,Non so,Non so,2,5,5,4,3,2,1,1,"1, 2, 3, 4, 5",,Uomo,41-50,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
14/02/2021 10.46.14,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse","La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Marinara,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,"Piantare alberi, Sistemare la viabilità, Eliminare lo spaccio e la delinquenza, Rivedere l'assegnazione delle case popolari","Ripetitiva, 0 curiosità, chiusa",Può essere una valida alleata degli umani,9,"1, 2, 3","2, 4","1, 3",5,,"1, 3","1, 2, 3",3,5,Non so,"4, 5",Non so,2,5,3,2,5,4,2,4,4,Sì,Donna,60+,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco",Vedov*,Con partner e figl*,Lavorator*,Tempo pieno
14/02/2021 11.12.24,Musica o film,5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,Vecchia,Può essere una valida alleata degli umani,7,"1, 3","4, 5","4, 5",Non so,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,5,5,5,4,4,3,"1, 2",,Uomo,41-50,Bolzano,,Bolzano,Dottorato di ricerca,Italiano,"Italiano, Tedesco, Inglese",Separat*/Divorziat*,Preferisco non rispondere,Lavorator*,Tempo pieno
14/02/2021 11.24.41,"Cosmetica, bellezza, benessere",6,Per fortuna vivo con altre persone che se ne occupano,Imploro un aperitivo con gli amici,Aspetto che mi coinvolgano le altre persone,Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,La mia situazione,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,Eliminare lo spaccio e la delinquenza,Vecchia,È una questione delicata che dobbiamo gestire,8,1,1,1,5,,5,3,1,5,1,5,1,2,4,3,4,2,5,1,5,1,,Donna,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco",Single,Con due coinquilin*,Student*,Tempo pieno
14/02/2021 11.29.16,"Cosmetica, bellezza, benessere",6,La pizzeria del cuore è in cima alla lista,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,Penso che tutte le persone al potere vogliono fare solo i loro interessi,La mia situazione,Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,Eliminare lo spaccio e la delinquenza,Boriosa,Può essere una valida alleata degli umani,7,1,2,1,5,,2,2,2,5,5,Non so,Non so,Non so,Non so,4,3,2,1,1,5,5,,Donna,41-50,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Inglese",Separat*/Divorziat*,Da sol*,Lavorator*,Tempo pieno
14/02/2021 12.01.59,Macchine fotografiche e altre attrezzature elettroniche,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","Una città vecchia, senza futuro",È una questione delicata che dobbiamo gestire,5,Non so,"2, 3",2,1,,Non so,Non so,Non so,1,1,Non so,Non so,Non so,Non so,1,Non so,Non so,2,2,Non so,1,,Uomo,60+,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Pensionat*,Non lavoro e non studio
14/02/2021 13.44.15,Macchine fotografiche e altre attrezzature elettroniche,7,Adoro cucinare,Mi gusto uno spettacolo dal vivo,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Una conoscente vuole convincermi che le persone immigrate hanno dei diritti",La situazione delle persone a me vicine,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Indietro rispetto a come è l'Alto Adige ,Può essere una valida alleata degli umani,6,"1, 4",2,"1, 4",5,,1,"3, 4",2,"3, 5",5,"3, 4","3, 5",1,"1, 2, 4","3, 4",5,2,2,1,1,4,,Uomo,60+,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco, Ladino",Sposat*,Con un coinquilin*,Pensionat*,Non lavoro e non studio
14/02/2021 13.44.32,Articoli sportivi,4,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse",La situazione delle persone a me vicine,Non ho particolari preferenze,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",In declino,Può essere una valida alleata degli umani,6,"1, 2","2, 4","1, 2, 3, 4, 5",Non so,,"2, 3, 4","2, 3, 4","2, 3, 4","1, 5","1, 5","1, 5","1, 5","2, 3, 4","1, 5",1,3,2,4,1,3,5,,Uomo,41-50,Bolzano,,Bolzano,Istruzione secondaria/completa,Tedesco,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
14/02/2021 15.29.37,Articoli per la casa,3,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, Scopro che un conoscente non paga le tasse",La situazione delle persone a me vicine,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Triste,È una questione delicata che dobbiamo gestire,9,3,2,2,5,,2,2,2,5,5,3,4,2,4,Non so,Non so,Non so,2,2,2,2,,Donna,60+,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Ladino, Inglese, Spagnolo",Convivente (anche non formalizzato),Con partner,Pensionat*,Non lavoro e non studio
14/02/2021 16.30.34,Articoli per la casa,4,Adoro cucinare,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La re-impennata degli agenti inquinanti,Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","Agonizzante
",Può essere una valida alleata degli umani,7,1,4,4,5,,4,3,Non so,5,4,1,1,Non so,4,4,5,3,1,4,4,2,,Donna,51-60,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco",Sposat*,Con partner,Lavorator*,Tempo pieno
14/02/2021 18.28.27,Articoli per la casa,4,La pizzeria del cuore è in cima alla lista,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La situazione delle persone a me vicine,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Eliminare lo spaccio e la delinquenza, Rivedere l'assegnazione delle case popolari",Inutilmente incasinata ,Una cosa entusiasmante,6,1,2,"1, 3, 4",2,,4,3,3,5,5,2,1,2,1,2,3,4,1,1,3,5,,Uomo,41-50,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Separat*/Divorziat*,Da sol*,Lavorator*,Tempo pieno
14/02/2021 18.38.32,Macchine fotografiche e altre attrezzature elettroniche,4,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",No,"Piantare alberi, Eliminare lo spaccio e la delinquenza","Insicura
",Può essere una valida alleata degli umani,7,"2, 3",2,"1, 3",5,Inquinata,3,2,4,5,Non so,Non so,5,1,Non so,1,4,2,3,3,2,5,,Donna,41-50,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Separat*/Divorziat*,Con partner e figl*,Lavorator*,Part-time
14/02/2021 18.52.13,Articoli sportivi,7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,"Statica, necessita di movimento culturale",Può essere una valida alleata degli umani,7,2,1,1,5,,2,1,2,Non so,5,Non so,Non so,1,2,1,2,1,5,3,4,5,,Donna,31-40,Italia,,Bolzano,Dottorato di ricerca,Italiano,"Italiano, Inglese, Spagnolo",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
14/02/2021 20.16.02,Macchine fotografiche e altre attrezzature elettroniche,6,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,Una conoscente vuole convincermi che le persone immigrate hanno dei diritti,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Eliminare lo spaccio e la delinquenza, Rivedere l'assegnazione delle case popolari",Decadente,Scenari tipo Terminator,7,1,1,1,4,Degrado assoluto ,1,3,1,4,4,4,4,4,4,4,2,5,1,3,3,5,,Uomo,51-60,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Pensionat*,Non lavoro e non studio
14/02/2021 20.36.36,Musica o film,7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La situazione delle persone a me vicine,Non ho particolari preferenze,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Alla ricerca di un suo futuro,È una questione delicata che dobbiamo gestire,7,"1, 4",Non so,"1, 4",5,,4,Non so,Non so,"1, 5","1, Non so",Non so,Non so,Non so,5,Non so,4,Non so,2,3,Non so,5,,Donna,41-50,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco",Preferisco non rispondere,Preferisco non rispondere,Preferisco non rispondere,Preferisco non rispondere
14/02/2021 22.09.12,Articoli sportivi,5,Per fortuna vivo con altre persone che se ne occupano,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La mia situazione,Non ho particolari preferenze,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,No,"Eliminare lo spaccio e la delinquenza, Rivedere l'assegnazione delle case popolari",Ruffiana,È una questione delicata che dobbiamo gestire,7,"1, 2",2,3,"2, 3",,2,2,Non so,"3, 5",Non so,"1, 5",1,2,1,5,1,"2, 4",2,3,4,1,,Uomo,60+,Bolzano,,Trentino,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Separat*/Divorziat*,Con partner,Preferisco non rispondere,Preferisco non rispondere
15/02/2021 8.01.34,Macchine fotografiche e altre attrezzature elettroniche,4,Adoro cucinare,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,Una conoscente vuole convincermi che le persone immigrate hanno dei diritti,La situazione delle persone a me vicine,Non ho particolari preferenze,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza, Rivedere l'assegnazione delle case popolari",,Può essere una valida alleata degli umani,7,3,3,3,1,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Uomo,60+,Bolzano,,Bolzano,Istruzione primaria,Italiano,Italiano,Sposat*,Preferisco non rispondere,Pensionat*,Non lavoro e non studio
15/02/2021 16.07.57,Articoli per la casa,6,La pizzeria del cuore è in cima alla lista,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,Vedo una persona che getta una lattina a terra,La re-impennata degli agenti inquinanti,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,Eliminare lo spaccio e la delinquenza,Poco sicura,È una questione delicata che dobbiamo gestire,8,1,Non so,"1, 3",1,,3,"1, 3",1,5,5,Non so,Non so,Non so,5,1,2,3,1,4,5,5,,Donna,51-60,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Part-time
15/02/2021 16.20.17,Articoli sportivi,5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La re-impennata degli agenti inquinanti,Vegetariana,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza","statica, conservatrice, mafiosa",Può essere una valida alleata degli umani,7,"1, 2",2,"1, 2","4, 5",,2,2,Non so,1,1,Non so,"1, 4, 5",Non so,"1, 4, 5",1,1,4,2,2,5,5,,Donna,31-40,Italia,,Bolzano,Dottorato di ricerca,Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
